实验,任务,主干,demo_frac,训练ep,参数量(M),epochs,iters,用时(s),iters/s,best val,train loss,评测,成功率,成功/总数,平均步数
PickCube-v1_frac1.0_seed0,PickCube-v1,mlp,1,900,0.353,300,"82,200",849.2,96.8,0.01530,0.01442,50ep@2000,96.0%,48/50,77.3
PickCube-v1_frac1.0_unet_seed0,PickCube-v1,unet,1,900,2.806,109,"29,866",684.5,43.6,0.00413,0.00329,50ep@2000,100.0%,50/50,73.8
