epoch,train_loss,val_loss,lr,sec
165,0.017883,,4.218e-05,468.0
166,0.017862,,4.166e-05,470.8
167,0.017645,,4.115e-05,473.6
168,0.017568,,4.063e-05,476.5
169,0.017366,,4.012e-05,478.8
170,0.017219,0.018357,3.960e-05,481.4
171,0.017386,,3.909e-05,484.0
172,0.017345,,3.858e-05,486.2
173,0.017454,,3.807e-05,488.6
174,0.017225,,3.757e-05,491.2
175,0.017317,,3.706e-05,494.1
176,0.017268,,3.655e-05,496.9
177,0.017391,,3.605e-05,499.7
178,0.017380,,3.555e-05,502.5
179,0.016806,,3.505e-05,505.3
180,0.016710,0.018741,3.455e-05,508.4
181,0.016819,,3.405e-05,511.2
182,0.016840,,3.356e-05,514.0
183,0.016918,,3.306e-05,516.8
184,0.016601,,3.257e-05,519.6
185,0.016958,,3.208e-05,522.4
186,0.016776,,3.159e-05,525.2
187,0.016561,,3.111e-05,528.0
188,0.016372,,3.062e-05,530.9
189,0.016591,,3.014e-05,533.8
190,0.016671,0.018454,2.966e-05,536.9
191,0.016494,,2.919e-05,539.8
192,0.016360,,2.871e-05,542.6
193,0.016326,,2.824e-05,545.3
194,0.016084,,2.777e-05,548.2
195,0.016126,,2.730e-05,551.0
196,0.016455,,2.684e-05,553.8
197,0.016103,,2.637e-05,556.6
198,0.016171,,2.591e-05,559.5
199,0.016227,,2.545e-05,562.3
200,0.015974,0.017354,2.500e-05,565.3
201,0.016240,,2.455e-05,568.2
202,0.016289,,2.410e-05,571.1
203,0.016104,,2.365e-05,573.8
204,0.016170,,2.321e-05,576.6
205,0.016177,,2.277e-05,579.4
206,0.015867,,2.233e-05,582.3
207,0.015892,,2.190e-05,585.1
208,0.015658,,2.146e-05,588.0
209,0.015701,,2.104e-05,590.8
210,0.015780,0.016409,2.061e-05,593.9
211,0.015833,,2.019e-05,596.8
212,0.015787,,1.977e-05,599.6
213,0.015623,,1.935e-05,602.4
214,0.015848,,1.894e-05,605.2
215,0.015420,,1.853e-05,608.0
216,0.015269,,1.813e-05,610.9
217,0.015576,,1.773e-05,613.7
218,0.015874,,1.733e-05,616.5
219,0.015510,,1.693e-05,619.3
220,0.015692,0.016975,1.654e-05,622.4
221,0.015279,,1.616e-05,625.3
222,0.015605,,1.577e-05,628.1
223,0.015668,,1.539e-05,630.9
224,0.015231,,1.502e-05,633.8
225,0.015430,,1.464e-05,636.6
226,0.015351,,1.428e-05,639.4
227,0.015273,,1.391e-05,642.2
228,0.015296,,1.355e-05,645.1
229,0.015325,,1.320e-05,648.0
230,0.015331,0.015896,1.284e-05,651.0
231,0.015163,,1.249e-05,653.8
232,0.015369,,1.215e-05,656.7
233,0.015106,,1.181e-05,659.5
234,0.014891,,1.147e-05,662.4
235,0.015212,,1.114e-05,665.3
236,0.015125,,1.082e-05,668.1
237,0.015327,,1.049e-05,670.9
238,0.014810,,1.017e-05,673.7
239,0.015002,,9.859e-06,676.5
240,0.015055,0.016722,9.549e-06,679.6
241,0.015245,,9.244e-06,682.4
242,0.015000,,8.943e-06,685.2
243,0.014841,,8.646e-06,688.1
244,0.014877,,8.354e-06,691.0
245,0.014755,,8.066e-06,693.8
246,0.014785,,7.784e-06,696.6
247,0.015050,,7.505e-06,699.3
248,0.014810,,7.232e-06,702.1
249,0.014929,,6.963e-06,704.9
250,0.014791,0.016247,6.699e-06,708.0
251,0.014651,,6.439e-06,710.8
252,0.014715,,6.185e-06,713.6
253,0.014908,,5.935e-06,716.3
254,0.014924,,5.690e-06,719.1
255,0.014968,,5.450e-06,721.9
256,0.014801,,5.214e-06,724.7
257,0.014759,,4.984e-06,727.5
258,0.014741,,4.759e-06,730.4
259,0.014796,,4.538e-06,733.2
260,0.014599,0.015722,4.323e-06,736.2
261,0.014561,,4.112e-06,739.1
262,0.014544,,3.907e-06,741.9
263,0.014820,,3.706e-06,744.7
264,0.014674,,3.511e-06,747.5
265,0.014468,,3.321e-06,750.2
266,0.014617,,3.136e-06,753.1
267,0.014576,,2.956e-06,755.9
268,0.014499,,2.781e-06,758.7
269,0.014526,,2.612e-06,761.4
270,0.014564,0.015695,2.447e-06,764.5
271,0.014660,,2.288e-06,767.3
272,0.014476,,2.134e-06,770.1
273,0.014402,,1.985e-06,772.9
274,0.014584,,1.842e-06,775.7
275,0.014433,,1.704e-06,778.6
276,0.014663,,1.571e-06,781.3
277,0.014615,,1.443e-06,784.1
278,0.014582,,1.321e-06,786.9
279,0.014600,,1.204e-06,789.7
280,0.014698,0.015305,1.093e-06,792.7
281,0.014195,,9.864e-07,795.6
282,0.014435,,8.856e-07,798.4
283,0.014310,,7.902e-07,801.2
284,0.014433,,7.002e-07,804.0
285,0.014418,,6.156e-07,806.8
286,0.014390,,5.364e-07,809.5
287,0.014532,,4.626e-07,812.3
288,0.014451,,3.943e-07,815.2
289,0.014414,,3.314e-07,818.0
290,0.014264,0.015614,2.739e-07,821.0
291,0.014664,,2.219e-07,823.8
292,0.014191,,1.754e-07,826.6
293,0.014351,,1.343e-07,829.3
294,0.014485,,9.866e-08,832.1
295,0.014458,,6.852e-08,834.9
296,0.014524,,4.386e-08,837.8
297,0.014413,,2.467e-08,840.6
298,0.014327,,1.097e-08,843.3
299,0.014408,,2.742e-09,846.1
300,0.014420,0.016251,0.000e+00,849.2
